group_id,type,label,dominant_domain,agent_count,collections,agents
dup-001,exact-duplicate,boardprepai,executivo,2,executive-premium-v1; github-agents-v1,executive-premium-v1:boardprep-ai-premium-pack; github-agents-v1:board-prep-ai-github-pack
dup-002,exact-duplicate,brandguardian,marketing,2,executive-premium-v1; github-agents-v1,executive-premium-v1:brand-guardian-premium-pack; github-agents-v1:brand-guardian-github-pack
dup-003,exact-duplicate,budgetfluid,financeiro,2,executive-premium-v1; github-agents-v1,executive-premium-v1:budget-fluid-premium-pack; github-agents-v1:budget-fluid-github-pack
dup-004,exact-duplicate,capitalallocator,executivo,2,executive-premium-v1; github-agents-v1,executive-premium-v1:capital-allocator-premium-pack; github-agents-v1:capital-allocator-github-pack
dup-005,exact-duplicate,churndeflector,CS,2,executive-premium-v1; github-agents-v1,executive-premium-v1:churn-deflector-premium-pack; github-agents-v1:churn-deflector-github-pack
dup-006,exact-duplicate,competitorxray,marketing,2,executive-premium-v1; github-agents-v1,executive-premium-v1:competitor-xray-premium-pack; github-agents-v1:competitor-x-ray-github-pack
dup-007,exact-duplicate,crisisnavigator,executivo,2,executive-premium-v1; github-agents-v1,executive-premium-v1:crisis-navigator-premium-pack; github-agents-v1:crisis-navigator-github-pack
dup-008,exact-duplicate,culturepulse,ops,2,executive-premium-v1; github-agents-v1,executive-premium-v1:culture-pulse-premium-pack; github-agents-v1:culture-pulse-github-pack
dup-009,exact-duplicate,expansionmapper,CS,2,executive-premium-v1; github-agents-v1,executive-premium-v1:expansion-mapper-premium-pack; github-agents-v1:expansion-mapper-github-pack
dup-010,exact-duplicate,marketsentinel,executivo,2,executive-premium-v1; github-agents-v1,executive-premium-v1:market-sentinel-premium-pack; github-agents-v1:market-sentinel-github-pack
dup-011,exact-duplicate,narrativeweaver,executivo,2,executive-premium-v1; github-agents-v1,executive-premium-v1:narrative-weaver-premium-pack; github-agents-v1:narrative-weaver-github-pack
dup-012,exact-duplicate,pipelineoracle,vendas,2,executive-premium-v1; github-agents-v1,executive-premium-v1:pipeline-oracle-premium-pack; github-agents-v1:pipeline-oracle-github-pack
dup-013,exact-duplicate,pricingoptimizer,vendas,2,executive-premium-v1; github-agents-v1,executive-premium-v1:pricing-optimizer-premium-pack; github-agents-v1:pricing-optimizer-github-pack
dup-014,exact-duplicate,quotaarchitect,vendas,2,executive-premium-v1; github-agents-v1,executive-premium-v1:quota-architect-premium-pack; github-agents-v1:quota-architect-github-pack
dup-015,exact-duplicate,trendcatcher,executivo,2,executive-premium-v1; github-agents-v1,executive-premium-v1:trend-catcher-premium-pack; github-agents-v1:trend-catcher-github-pack
overlap-pipeline-forecast-deal-risk,thematic-overlap,"Pipeline, forecast e risco de deal",vendas,40,corporate-v1; executive-premium-v1; github-agents-v1,corporate-v1:closing-forecast-pack; corporate-v1:context-memory-pack; corporate-v1:cro-pack; corporate-v1:deal-risk-pack; corporate-v1:forecast-intelligence-pack; corporate-v1:pipeline-auditor-pack; corporate-v1:sales-manager-pack; executive-premium-v1:pipeline-oracle-premium-pack; executive-premium-v1:quota-architect-premium-pack; github-agents-v1:activity-analyzer-github-pack; github-agents-v1:acv-growth-tracker-github-pack; github-agents-v1:arr-bridge-builder-github-pack; github-agents-v1:conversion-forecaster-github-pack; github-agents-v1:data-cleaner-github-pack; github-agents-v1:deal-at-risk-alerter-github-pack; github-agents-v1:deal-desk-autopilot-github-pack; github-agents-v1:deck-customizer-github-pack; github-agents-v1:discount-approver-github-pack; github-agents-v1:exec-summary-generator-github-pack; github-agents-v1:fast-quoter-github-pack; github-agents-v1:follow-up-ghost-github-pack; github-agents-v1:forecast-rollup-github-pack; github-agents-v1:forecasting-modeler-github-pack; github-agents-v1:gamification-master-github-pack; github-agents-v1:ghosting-preventer-github-pack; github-agents-v1:multi-year-deal-modeller-github-pack; github-agents-v1:mutual-action-tracker-github-pack; github-agents-v1:org-nav-github-pack; github-agents-v1:pipeline-inspector-github-pack; github-agents-v1:pipeline-oracle-github-pack; github-agents-v1:pipeline-velocity-tracker-github-pack; github-agents-v1:procurement-hacker-github-pack; github-agents-v1:product-feedback-looper-github-pack; github-agents-v1:quota-architect-github-pack; github-agents-v1:quota-attainment-tracker-github-pack; github-agents-v1:quota-setter-github-pack; github-agents-v1:renewal-forecast-engine-github-pack; github-agents-v1:territory-balancer-github-pack; github-agents-v1:territory-mapper-github-pack; github-agents-v1:win-loss-analyzer-github-pack
overlap-pricing-discount-quote,thematic-overlap,"Pricing, desconto e cotacao",vendas,11,executive-premium-v1; github-agents-v1,executive-premium-v1:pricing-optimizer-premium-pack; github-agents-v1:discount-approver-github-pack; github-agents-v1:discount-leak-guard-github-pack; github-agents-v1:discount-waterfall-modeler-github-pack; github-agents-v1:fast-quoter-github-pack; github-agents-v1:price-discount-impact-github-pack; github-agents-v1:pricing-elasticity-tester-github-pack; github-agents-v1:pricing-optimizer-github-pack; github-agents-v1:pricing-tester-github-pack; github-agents-v1:pricing-tier-recommender-github-pack; github-agents-v1:tiering-optimizer-github-pack
overlap-lead-prospecting-outreach,thematic-overlap,"Lead, prospeccao e outbound",vendas,37,corporate-v1; github-agents-v1,corporate-v1:cfo-pack; corporate-v1:cmo-pack; corporate-v1:coo-pack; corporate-v1:cro-pack; corporate-v1:cto-pack; corporate-v1:lead-enrichment-pack; corporate-v1:lead-hunter-pack; corporate-v1:meeting-booker-pack; corporate-v1:sales-pack; corporate-v1:sdr-outreach-pack; github-agents-v1:account-mapper-github-pack; github-agents-v1:annual-report-analyzer-github-pack; github-agents-v1:board-prep-ai-github-pack; github-agents-v1:calendar-sniper-github-pack; github-agents-v1:cap-table-manager-github-pack; github-agents-v1:cold-call-scripter-github-pack; github-agents-v1:content-to-lead-github-pack; github-agents-v1:enrichment-bot-github-pack; github-agents-v1:event-qualifier-github-pack; github-agents-v1:follow-up-ghost-github-pack; github-agents-v1:icp-refiner-github-pack; github-agents-v1:inbound-scorer-github-pack; github-agents-v1:intent-decoder-github-pack; github-agents-v1:lead-magnet-creator-github-pack; github-agents-v1:lead-routing-troubleshooter-github-pack; github-agents-v1:lead-scoring-modeler-github-pack; github-agents-v1:leaderboard-broadcaster-github-pack; github-agents-v1:multi-threader-github-pack; github-agents-v1:narrative-weaver-github-pack; github-agents-v1:personalization-engine-github-pack; github-agents-v1:playbook-generator-github-pack; github-agents-v1:quota-architect-github-pack; github-agents-v1:routing-traffic-cop-github-pack; github-agents-v1:stakeholder-persona-generator-github-pack; github-agents-v1:target-scraper-github-pack; github-agents-v1:trigger-event-watcher-github-pack; github-agents-v1:webinar-nurturer-github-pack
overlap-cs-health-retention,thematic-overlap,"Saude de cliente, churn, renovacao e expansao",CS,18,corporate-v1; executive-premium-v1; github-agents-v1,corporate-v1:cs-pack; corporate-v1:customer-health-pack; executive-premium-v1:churn-deflector-premium-pack; github-agents-v1:adoption-metric-analyzer-github-pack; github-agents-v1:churn-cohort-isolator-github-pack; github-agents-v1:churn-deflector-github-pack; github-agents-v1:churn-win-back-sequencer-github-pack; github-agents-v1:cross-sell-mapper-github-pack; github-agents-v1:csatnps-aggregator-github-pack; github-agents-v1:health-score-architect-github-pack; github-agents-v1:health-score-trigger-github-pack; github-agents-v1:net-retention-modeler-github-pack; github-agents-v1:qbr-deck-builder-github-pack; github-agents-v1:renewal-contract-generator-github-pack; github-agents-v1:renewal-forecast-engine-github-pack; github-agents-v1:stickiness-tracker-github-pack; github-agents-v1:upsell-prompt-github-pack; github-agents-v1:white-space-analyzer-github-pack
overlap-support-ticket-sla,thematic-overlap,"Suporte, tickets, SLA e incidentes",CS,19,corporate-v1; executive-premium-v1; github-agents-v1,corporate-v1:ops-pack; executive-premium-v1:brand-guardian-premium-pack; github-agents-v1:crisis-navigator-github-pack; github-agents-v1:discount-approver-github-pack; github-agents-v1:escalation-predictor-github-pack; github-agents-v1:faq-auto-responder-github-pack; github-agents-v1:incident-post-mortem-drafter-github-pack; github-agents-v1:kb-gap-identifier-github-pack; github-agents-v1:l1-auto-resolver-github-pack; github-agents-v1:l3-bug-replicator-github-pack; github-agents-v1:outage-communicator-github-pack; github-agents-v1:roi-calculator-builder-github-pack; github-agents-v1:scenario-modeler-github-pack; github-agents-v1:semantic-search-kb-github-pack; github-agents-v1:sla-escalator-github-pack; github-agents-v1:sla-monitor-github-pack; github-agents-v1:ticket-backlog-analyzer-github-pack; github-agents-v1:ticket-classifier-github-pack; github-agents-v1:vip-concierge-github-pack
overlap-cash-billing-collections,thematic-overlap,"Caixa, billing, cobranca e reconciliacao",financeiro,21,corporate-v1; github-agents-v1,corporate-v1:cfo-pack; corporate-v1:finance-pack; github-agents-v1:aging-report-sender-github-pack; github-agents-v1:bank-reconciliation-bot-github-pack; github-agents-v1:bankruptcy-risk-monitor-github-pack; github-agents-v1:cash-app-matcher-github-pack; github-agents-v1:cash-flow-clairvoyant-github-pack; github-agents-v1:central-bank-xml-generator-github-pack; github-agents-v1:chargeback-dispute-automator-github-pack; github-agents-v1:collection-agency-router-github-pack; github-agents-v1:crisis-navigator-github-pack; github-agents-v1:dunning-automator-github-pack; github-agents-v1:failed-payment-retrier-github-pack; github-agents-v1:invoice-generator-github-pack; github-agents-v1:narrative-weaver-github-pack; github-agents-v1:payment-link-sender-github-pack; github-agents-v1:payment-plan-negotiator-github-pack; github-agents-v1:personalization-engine-github-pack; github-agents-v1:proration-calculator-github-pack; github-agents-v1:refund-processor-github-pack; github-agents-v1:remittance-extractor-github-pack
overlap-fpna-budget-cost,thematic-overlap,"FP&A, budget, margem e custos",financeiro,30,corporate-v1; executive-premium-v1; github-agents-v1,corporate-v1:cfo-pack; corporate-v1:finance-pack; executive-premium-v1:budget-fluid-premium-pack; executive-premium-v1:capital-allocator-premium-pack; github-agents-v1:budget-fluid-github-pack; github-agents-v1:budget-variance-pinger-github-pack; github-agents-v1:burn-rate-monitor-github-pack; github-agents-v1:cap-table-manager-github-pack; github-agents-v1:capital-adequacy-calculator-github-pack; github-agents-v1:capital-allocator-github-pack; github-agents-v1:cash-flow-clairvoyant-github-pack; github-agents-v1:cloud-spend-optimizer-github-pack; github-agents-v1:competitor-financial-scraper-github-pack; github-agents-v1:conversion-forecaster-github-pack; github-agents-v1:discount-approver-github-pack; github-agents-v1:financial-ratio-calculator-github-pack; github-agents-v1:forecasting-modeler-github-pack; github-agents-v1:fx-risk-manager-github-pack; github-agents-v1:liquidity-ratio-monitor-github-pack; github-agents-v1:margin-calculator-github-pack; github-agents-v1:multi-cloud-cost-modeler-github-pack; github-agents-v1:multi-year-deal-modeller-github-pack; github-agents-v1:pipeline-oracle-github-pack; github-agents-v1:renewal-forecast-engine-github-pack; github-agents-v1:resource-balancer-github-pack; github-agents-v1:roi-scenario-modeler-github-pack; github-agents-v1:scenario-modeler-github-pack; github-agents-v1:spend-controller-github-pack; github-agents-v1:tax-optimizer-github-pack; github-agents-v1:vendor-negotiator-github-pack
overlap-compliance-risk-audit,thematic-overlap,"Compliance, auditoria, policy e risco",compliance,45,corporate-v1; executive-premium-v1; github-agents-v1,corporate-v1:deal-risk-pack; corporate-v1:legal-pack; corporate-v1:pipeline-auditor-pack; corporate-v1:policy-and-approval-guard-pack; executive-premium-v1:crisis-navigator-premium-pack; github-agents-v1:access-right-auditor-github-pack; github-agents-v1:agency-auditor-github-pack; github-agents-v1:approval-workflow-router-github-pack; github-agents-v1:audit-bot-github-pack; github-agents-v1:audit-prep-engine-github-pack; github-agents-v1:audit-trail-builder-github-pack; github-agents-v1:bankruptcy-risk-monitor-github-pack; github-agents-v1:brand-guardian-github-pack; github-agents-v1:churn-deflector-github-pack; github-agents-v1:comms-surveillance-bot-github-pack; github-agents-v1:compliance-checklist-enforcer-github-pack; github-agents-v1:compliance-enforcer-github-pack; github-agents-v1:contract-drafter-github-pack; github-agents-v1:contract-redliner-github-pack; github-agents-v1:culture-pulse-github-pack; github-agents-v1:deal-at-risk-alerter-github-pack; github-agents-v1:discount-approver-github-pack; github-agents-v1:escalation-predictor-github-pack; github-agents-v1:exec-summary-generator-github-pack; github-agents-v1:executive-summary-bot-github-pack; github-agents-v1:fx-risk-manager-github-pack; github-agents-v1:health-score-architect-github-pack; github-agents-v1:high-risk-jurisdiction-pinger-github-pack; github-agents-v1:legal-clause-matcher-github-pack; github-agents-v1:multi-year-deal-modeller-github-pack; github-agents-v1:pipeline-oracle-github-pack; github-agents-v1:planner-github-pack; github-agents-v1:policy-mapping-bot-github-pack; github-agents-v1:procurement-hacker-github-pack; github-agents-v1:procurement-policy-bot-github-pack; github-agents-v1:regulatory-change-alerter-github-pack; github-agents-v1:regulatory-training-tracker-github-pack; github-agents-v1:renewal-contract-generator-github-pack; github-agents-v1:reviewer-github-pack; github-agents-v1:risk-exposure-quantifier-github-pack; github-agents-v1:saas-license-auditor-github-pack; github-agents-v1:security-questionnaire-filler-github-pack; github-agents-v1:tax-optimizer-github-pack; github-agents-v1:tech-stack-auditor-github-pack; github-agents-v1:vendor-negotiator-github-pack
overlap-kyc-aml-fraud,thematic-overlap,"KYC, AML, fraude e verificacao de identidade",compliance,12,github-agents-v1,github-agents-v1:crypto-tracing-bot-github-pack; github-agents-v1:device-fingerprint-matcher-github-pack; github-agents-v1:id-verification-matcher-github-pack; github-agents-v1:liveness-check-analyzer-github-pack; github-agents-v1:money-mule-detector-github-pack; github-agents-v1:pep-screener-github-pack; github-agents-v1:sanctions-screener-github-pack; github-agents-v1:sar-drafter-github-pack; github-agents-v1:synthetic-identity-detector-github-pack; github-agents-v1:transaction-hold-reviewer-github-pack; github-agents-v1:transaction-link-analyzer-github-pack; github-agents-v1:ubo-mapper-github-pack
overlap-marketing-campaign-content-seo,thematic-overlap,"Campanhas, conteudo, SEO e growth marketing",marketing,17,github-agents-v1,github-agents-v1:ad-copy-machine-github-pack; github-agents-v1:audience-segment-discoverer-github-pack; github-agents-v1:campaign-decay-predictor-github-pack; github-agents-v1:campaign-orchestrator-github-pack; github-agents-v1:content-repurposer-github-pack; github-agents-v1:content-to-lead-github-pack; github-agents-v1:creative-asset-tester-github-pack; github-agents-v1:drip-campaign-trigger-github-pack; github-agents-v1:keyword-opportunity-spotter-github-pack; github-agents-v1:media-mix-optimizer-github-pack; github-agents-v1:newsletter-curator-github-pack; github-agents-v1:seo-draft-writer-github-pack; github-agents-v1:serp-volatility-tracker-github-pack; github-agents-v1:subject-line-tester-github-pack; github-agents-v1:utm-builder-bot-github-pack; github-agents-v1:webinar-nurturer-github-pack; github-agents-v1:webinar-promoter-github-pack
overlap-brand-market-competitive,thematic-overlap,"Marca, mercado e inteligencia competitiva",marketing,28,corporate-v1; executive-premium-v1; github-agents-v1,corporate-v1:cmo-pack; executive-premium-v1:brand-guardian-premium-pack; executive-premium-v1:competitor-xray-premium-pack; executive-premium-v1:market-sentinel-premium-pack; executive-premium-v1:narrative-weaver-premium-pack; executive-premium-v1:trend-catcher-premium-pack; github-agents-v1:battlecard-updater-github-pack; github-agents-v1:board-reporting-automator-github-pack; github-agents-v1:brand-guardian-github-pack; github-agents-v1:brand-guideline-enforcer-github-pack; github-agents-v1:burn-rate-monitor-github-pack; github-agents-v1:competitor-displacement-github-pack; github-agents-v1:competitor-financial-scraper-github-pack; github-agents-v1:competitor-intel-broadcaster-github-pack; github-agents-v1:competitor-x-ray-github-pack; github-agents-v1:deck-customizer-github-pack; github-agents-v1:demo-scripter-github-pack; github-agents-v1:expansion-mapper-github-pack; github-agents-v1:global-brand-localizer-github-pack; github-agents-v1:market-expansion-modeler-github-pack; github-agents-v1:market-sentinel-github-pack; github-agents-v1:market-share-estimator-github-pack; github-agents-v1:marketing-tech-architect-github-pack; github-agents-v1:narrative-weaver-github-pack; github-agents-v1:niche-explorer-github-pack; github-agents-v1:positioning-tester-github-pack; github-agents-v1:sentiment-aggregator-github-pack; github-agents-v1:trend-catcher-github-pack
overlap-data-analytics-dashboard,thematic-overlap,"Dados, BI, dashboards e higiene de dados",ops,17,corporate-v1; github-agents-v1,corporate-v1:lead-enrichment-pack; github-agents-v1:alt-data-scorer-github-pack; github-agents-v1:anomaly-detector-github-pack; github-agents-v1:churn-cohort-isolator-github-pack; github-agents-v1:cohort-analyzer-github-pack; github-agents-v1:dashboard-auto-freshener-github-pack; github-agents-v1:dashboard-automator-github-pack; github-agents-v1:data-cleaner-github-pack; github-agents-v1:data-cleaning-bot-github-pack; github-agents-v1:data-enrichment-automator-github-pack; github-agents-v1:data-hygiene-monitor-github-pack; github-agents-v1:data-migration-validator-github-pack; github-agents-v1:data-silo-bridger-github-pack; github-agents-v1:duplicate-merger-github-pack; github-agents-v1:enrichment-bot-github-pack; github-agents-v1:gl-anomaly-detector-github-pack; github-agents-v1:sql-query-generator-github-pack
overlap-process-workflow-automation,thematic-overlap,"Processos, workflows, integracoes e automacao",ops,29,corporate-v1; github-agents-v1,corporate-v1:agent-mesh-orchestrator-pack; corporate-v1:coo-pack; corporate-v1:legal-pack; corporate-v1:maestro-orchestrator-pack; corporate-v1:ops-pack; corporate-v1:rh-pack; github-agents-v1:api-integration-builder-github-pack; github-agents-v1:api-key-configurator-github-pack; github-agents-v1:approval-workflow-router-github-pack; github-agents-v1:campaign-orchestrator-github-pack; github-agents-v1:capacity-modeler-github-pack; github-agents-v1:capacity-planner-github-pack; github-agents-v1:deadline-tracker-github-pack; github-agents-v1:enrichment-bot-github-pack; github-agents-v1:gatekeeper-bypass-github-pack; github-agents-v1:lead-routing-troubleshooter-github-pack; github-agents-v1:market-sentinel-github-pack; github-agents-v1:marketing-tech-architect-github-pack; github-agents-v1:process-bottleneck-alerter-github-pack; github-agents-v1:process-flow-mapper-github-pack; github-agents-v1:process-walkthrough-automator-github-pack; github-agents-v1:procurement-hacker-github-pack; github-agents-v1:project-plan-tracker-github-pack; github-agents-v1:refund-processor-github-pack; github-agents-v1:resource-balancer-github-pack; github-agents-v1:routing-traffic-cop-github-pack; github-agents-v1:sentiment-shift-alerter-github-pack; github-agents-v1:shift-scheduler-github-pack; github-agents-v1:webhook-monitor-github-pack
overlap-enablement-coaching-playbooks,thematic-overlap,"Enablement, coaching e playbooks",vendas,13,corporate-v1; github-agents-v1,corporate-v1:call-review-pack; corporate-v1:enablement-coach-pack; corporate-v1:roleplay-trainer-pack; github-agents-v1:micro-learning-creator-github-pack; github-agents-v1:objection-flashcard-github-pack; github-agents-v1:playbook-creator-github-pack; github-agents-v1:playbook-generator-github-pack; github-agents-v1:playbook-updater-github-pack; github-agents-v1:regulatory-training-tracker-github-pack; github-agents-v1:rep-coach-ai-github-pack; github-agents-v1:training-video-recommender-github-pack; github-agents-v1:transcript-coach-github-pack; github-agents-v1:voice-pitch-grader-github-pack
overlap-executive-board-strategy,thematic-overlap,"Board, estrategia executiva e decisoes C-level",executivo,67,corporate-v1; executive-premium-v1; github-agents-v1,corporate-v1:ceo-pack; corporate-v1:kpi-analyst-pack; corporate-v1:onboarding-sales-pack; executive-premium-v1:boardprep-ai-premium-pack; executive-premium-v1:capital-allocator-premium-pack; executive-premium-v1:crisis-navigator-premium-pack; executive-premium-v1:narrative-weaver-premium-pack; github-agents-v1:account-mapper-github-pack; github-agents-v1:advocacy-finder-github-pack; github-agents-v1:agency-auditor-github-pack; github-agents-v1:annual-report-analyzer-github-pack; github-agents-v1:audit-bot-github-pack; github-agents-v1:board-prep-ai-github-pack; github-agents-v1:board-reporting-automator-github-pack; github-agents-v1:bottleneck-detector-github-pack; github-agents-v1:brand-guardian-github-pack; github-agents-v1:burn-rate-monitor-github-pack; github-agents-v1:cap-table-manager-github-pack; github-agents-v1:capacity-planner-github-pack; github-agents-v1:capital-allocator-github-pack; github-agents-v1:cash-flow-clairvoyant-github-pack; github-agents-v1:channel-mixer-github-pack; github-agents-v1:churn-deflector-github-pack; github-agents-v1:competitor-x-ray-github-pack; github-agents-v1:compliance-enforcer-github-pack; github-agents-v1:crisis-comms-drafter-github-pack; github-agents-v1:crisis-navigator-github-pack; github-agents-v1:culture-pulse-github-pack; github-agents-v1:dashboard-auto-freshener-github-pack; github-agents-v1:dashboard-automator-github-pack; github-agents-v1:escalation-predictor-github-pack; github-agents-v1:exec-summary-generator-github-pack; github-agents-v1:executive-demo-curator-github-pack; github-agents-v1:executive-sponsor-tracker-github-pack; github-agents-v1:executive-summary-bot-github-pack; github-agents-v1:forecast-rollup-github-pack; github-agents-v1:fx-risk-manager-github-pack; github-agents-v1:health-score-architect-github-pack; github-agents-v1:journey-architect-github-pack; github-agents-v1:leaderboard-broadcaster-github-pack; github-agents-v1:market-sentinel-github-pack; github-agents-v1:multi-threader-github-pack; github-agents-v1:multi-year-deal-modeller-github-pack; github-agents-v1:narrative-weaver-github-pack; github-agents-v1:onboarding-ramp-tracker-github-pack; github-agents-v1:one-on-one-prep-github-pack; github-agents-v1:pipeline-oracle-github-pack; github-agents-v1:pricing-optimizer-github-pack; github-agents-v1:ramp-up-assistant-github-pack; github-agents-v1:renewal-forecast-engine-github-pack; github-agents-v1:resource-balancer-github-pack; github-agents-v1:roi-calculator-builder-github-pack; github-agents-v1:roi-scenario-modeler-github-pack; github-agents-v1:scenario-modeler-github-pack; github-agents-v1:sentiment-aggregator-github-pack; github-agents-v1:spend-controller-github-pack; github-agents-v1:stakeholder-persona-generator-github-pack; github-agents-v1:stakeholder-update-automator-github-pack; github-agents-v1:strategic-alliance-scout-github-pack; github-agents-v1:strategic-kpi-aggregator-github-pack; github-agents-v1:strategic-partner-scout-github-pack; github-agents-v1:supply-chain-sync-github-pack; github-agents-v1:tax-optimizer-github-pack; github-agents-v1:territory-mapper-github-pack; github-agents-v1:trend-catcher-github-pack; github-agents-v1:vendor-negotiator-github-pack; github-agents-v1:vip-concierge-github-pack
overlap-product-launch-feedback,thematic-overlap,"Produto, launch, feedback e requisitos",ops,17,corporate-v1; executive-premium-v1; github-agents-v1,corporate-v1:productivity-pack; executive-premium-v1:competitor-xray-premium-pack; github-agents-v1:activity-analyzer-github-pack; github-agents-v1:competitor-x-ray-github-pack; github-agents-v1:credit-hold-releaser-github-pack; github-agents-v1:deck-customizer-github-pack; github-agents-v1:demo-scripter-github-pack; github-agents-v1:feature-heatmapper-github-pack; github-agents-v1:journey-architect-github-pack; github-agents-v1:journey-drop-off-locator-github-pack; github-agents-v1:launch-planner-github-pack; github-agents-v1:product-feedback-looper-github-pack; github-agents-v1:ramp-up-assistant-github-pack; github-agents-v1:release-note-writer-github-pack; github-agents-v1:requirements-gatherer-github-pack; github-agents-v1:reviewer-github-pack; github-agents-v1:user-story-writer-github-pack
